61

71	1	80	4
1428	2	50	15
2142	1	3	10
2857	1	2	2
3571	2	10	3
5714	2	40	35
5785	2	7	62
5857	2	58	50
5928	2	1	99
6000	2	60	79
			
17857	1	16	16
18571	2	45	6
20714	1	92	2
24285	2	130	18
24642	2	135	18
25000	2	140	18
25357	2	145	18
25714	2	150	18
28571	1	181	8
29285	1	176	3
			
30000	2	100	2
30714	2	84	2
31428	2	68	6
32142	2	75	10
32857	2	92	14
33571	2	108	10
34285	2	115	6
37142	2	183	30
37214	2	125	56
37285	2	179	44
			
42857	2	141	49
42857	2	142	49
42858	2	143	49
42859	2	141	50
42860	2	142	50
42860	2	143	50
42861	2	141	51
42862	2	142	51
42862	2	143	51
42863	1	142	52
			
50000	1	150	98
51428	2	130	98
52857	2	110	98
53571	2	113	90
54285	2	90	98
57142	1	92	49
57214	1	92	51
58571	2	120	17
60000	2	120	1
61428	2	30	16
			
64285	2	8	50
65714	2	10	66
67142	2	12	81
68571	2	23	85
70000	2	34	89
71428	2	55	92
72857	2	73	97
74285	2	95	96
75714	2	117	95
77142	2	151	97
			
78571	2	183	99
