61

55	1	80	4
1111	2	50	15
1666	1	3	10
2222	1	2	2
2777	2	10	3
4444	2	40	35
4500	2	7	62
4555	2	58	50
4611	2	1	99
4666	2	60	79
			
13888	1	16	16
14444	2	45	6
16111	1	92	2
18888	2	130	18
19166	2	135	18
19444	2	140	18
19722	2	145	18
20000	2	150	18
22222	1	181	8
22777	1	176	3
			
23333	2	100	2
23888	2	84	2
24444	2	68	6
25000	2	75	10
25555	2	92	14
26111	2	108	10
26666	2	115	6
28888	2	183	30
28944	2	125	56
29000	2	179	44
			
33333	2	141	49
33333	2	142	49
33334	2	143	49
33335	2	141	50
33335	2	142	50
33336	2	143	50
33336	2	141	51
33337	2	142	51
33337	2	143	51
33338	1	142	52
			
38888	1	150	98
40000	2	130	98
41111	2	110	98
41666	2	113	90
42222	2	90	98
44444	1	92	49
44500	1	92	51
45555	2	120	17
46666	2	120	1
47777	2	30	16
			
50000	2	8	50
51111	2	10	66
52222	2	12	81
53333	2	23	85
54444	2	34	89
55555	2	55	92
56666	2	73	97
57777	2	95	96
58888	2	117	95
60000	2	151	97
			
61111	2	183	99
