61

45	1	80	4
909	2	50	15
1363	1	3	10
1818	1	2	2
2272	2	10	3
3636	2	40	35
3681	2	7	62
3727	2	58	50
3772	2	1	99
3818	2	60	79
			
11363	1	16	16
11818	2	45	6
13181	1	92	2
15454	2	130	18
15681	2	135	18
15909	2	140	18
16136	2	145	18
16363	2	150	18
18181	1	181	8
18636	1	176	3
			
19090	2	100	2
19545	2	84	2
20000	2	68	6
20454	2	75	10
20909	2	92	14
21363	2	108	10
21818	2	115	6
23636	2	183	30
23681	2	125	56
23727	2	179	44
			
27272	2	141	49
27273	2	142	49
27273	2	143	49
27274	2	141	50
27274	2	142	50
27275	2	143	50
27275	2	141	51
27275	2	142	51
27276	2	143	51
27276	1	142	52
			
31818	1	150	98
32727	2	130	98
33636	2	110	98
34090	2	113	90
34545	2	90	98
36363	1	92	49
36409	1	92	51
37272	2	120	17
38181	2	120	1
39090	2	30	16
			
40909	2	8	50
41818	2	10	66
42727	2	12	81
43636	2	23	85
44545	2	34	89
45454	2	55	92
46363	2	73	97
47272	2	95	96
48181	2	117	95
49090	2	151	97
			
50000	2	183	99
